strain,sex,id,group,TCA_serum,DCA_serum,DCVG_serum,DCVC_serum,BUN,liver_adj,BrdU_liver,TCA_liver,DCA_liver,TCOH_liver,DCVG_liver,DCVC_liver,Acox1_liver,Cyp4a10_liver,Ppara_liver,kidney_adj,BrdU_kidney,KIM1_kidney,TCA_kidney,DCA_kidney,TCOH_kidney,DCVG_kidney,DCVC_kidney,Acox1_kidney,Cyp4a10_kidney,Ppara_kidney
C57BL/6J,m,071009_10,control,??,??,??,??,32.0,4.762,1.2,??,??,??,??,??,1.1,1.7,0.9,0.952,50.0,0.0,??,??,??,??,??,1.0,1.1,0.9
C57BL/6J,m,071009_11,control,??,??,??,??,25.1,4.762,0.9,??,??,??,??,??,0.8,0.3,0.9,1.429,52.4,0.0,??,??,??,??,??,0.8,0.8,0.8
C57BL/6J,m,071009_12,control,??,??,??,??,17.6,5.000,1.4,??,??,??,??,??,,,,1.500,44.4,0.4,??,??,??,??,??,,,
C57BL/6J,m,071009_21,TCE,,,,,37.5,5.000,2,1894.5,1.4,468.6,515.0,37.5,3.2,21.9,1,1.250,,3.2,377.1,0.7,789.7,60.7,113.7,5.3,16.0,3.7
C57BL/6J,m,071009_22,TCE,459.2,0.2,??,2.6,23.8,5.882,2.8,1201.7,0.9,320.5,21.2,??,2.6,6.3,1.5,1.176,58.3,43.6,580.1,??,1866.3,??,??,1.6,3.1,2.3
C57BL/6J,m,071009_23,TCE,582.0,0.2,??,1.5,21.2,6.500,0.6,1216.4,0.9,253.7,6.6,??,2.5,4.2,1.8,1.500,44.4,2.0,290.0,0.8,2009.9,??,??,0.8,1.2,1.0
C57BL/6J,m,071009_24,TCE,480.1,0.4,1.8,7.1,13.9,5.000,,1680.7,1.3,454.3,61.3,??,,,,1.500,52.4,48.2,429.3,1.0,1296.1,6.4,32.2,,,
CAST/EiJ,m,062609_13,control,??,??,??,??,42.6,6.154,1.9,??,??,??,??,??,0.8,0.5,0.7,1.538,56.5,0.5,??,??,??,??,??,0.9,0.9,0.9
CAST/EiJ,m,062609_14,control,??,??,??,??,22.9,6.364,0.6,??,??,??,??,??,1.1,2.3,1.2,1.818,37.5,0.0,??,??,??,??,??,1.1,1.2,1.2
CAST/EiJ,m,062609_16,control,??,??,??,??,15.5,5.833,0.5,??,??,??,??,??,1.1,0.2,1.1,1.667,52.4,0.4,??,??,??,??,??,1.0,0.9,0.9
CAST/EiJ,m,062609_17,TCE,,,,,,5.833,0.2,481.0,0.5,1402.6,38.9,??,0.7,1.5,0.3,0.833,41.2,0.0,127.0,??,847.4,??,23.3,1.0,1.3,1.1
CAST/EiJ,m,062609_20,TCE,417.7,0.2,??,??,29.1,5.385,2.1,499.2,0.5,1393.5,11.8,??,0.7,5.9,0.4,1.538,44.4,0.0,298.8,??,1628.5,1.8,??,1.4,3.8,1.5
CAST/EiJ,m,062609_23,TCE,,,??,1.8,19.7,5.000,1,504.4,0.6,1308.1,10.7,??,0.5,0.7,0.4,1.000,28.6,0.0,225.0,??,1008.9,??,??,1.1,1.8,1.4
NOD/ShiLtJ,m,062609_01,control,??,??,??,??,25.8,5.600,1.2,??,??,??,??,??,1.3,1.7,1.4,1.600,47.4,0.0,??,??,??,??,??,0.9,1.3,1.0
NOD/ShiLtJ,m,062609_02,control,??,??,??,??,32.8,5.200,0.6,??,??,??,??,??,0.4,0.5,0.4,1.739,58.3,0.0,??,??,??,??,??,1.0,0.6,1.1
NOD/ShiLtJ,m,062609_03,control,??,??,??,??,50.6,5.800,1.2,??,??,??,??,??,1.3,0.8,1.2,1.667,41.2,0.0,??,??,??,??,??,1.1,1.0,0.9
NOD/ShiLtJ,m,062609_04,TCE,,,,,,5.700,1.5,1505.4,1.9,1512.3,144.1,25.1,5.7,59.4,1.6,1.429,37.5,0.0,943.5,4.5,1498.8,??,102.6,6.0,111.2,4.8
NOD/ShiLtJ,m,062609_08,TCE,905.7,0.3,3.4,4.1,31.9,6.500,0.8,1098.3,1.5,,64.4,??,4.4,45.3,1.6,1.500,23.1,0.0,626.0,1.4,2214.7,2.2,57.4,10.8,185.6,8.8
NOD/ShiLtJ,m,062609_10,TCE,919.1,0.4,1.1,2.0,50.2,5.600,5.4,1098.9,1.2,1146.2,30.1,??,3.3,19.9,1.1,2.000,41.2,0.0,408.4,0.7,2993.2,??,12.8,1.9,7.6,1.2
NOD/ShiLtJ,m,062609_11,TCE,905.2,0.3,3.1,3.5,28.4,7.700,1.4,1217.2,1.4,1027.5,37.8,??,,,,1.364,33.3,0.0,827.5,0.7,1493.5,2.3,37.0,,,
NZW/LacJ,m,062609_37,control,??,??,??,??,28.0,7.000,0.5,??,??,??,??,??,0.9,2.3,1,1.667,44.4,11.7,??,??,??,??,??,1.0,1.1,1.0
NZW/LacJ,m,062609_38,control,??,??,??,??,32.5,5.900,0.6,??,??,??,??,??,1,0.3,1.1,1.563,37.5,22.1,??,??,??,??,??,0.9,0.9,0.9
NZW/LacJ,m,062609_39,control,??,??,??,??,54.2,6.900,2.3,??,??,??,??,??,1.1,0.5,0.9,2.069,61.5,9.5,??,??,??,??,??,1.1,1.1,1.0
NZW/LacJ,m,062609_40,control,??,??,??,??,96.2,7.200,0.6,??,??,??,??,??,,,,1.724,50.0,4.9,??,??,??,??,??,,,
NZW/LacJ,m,062609_41,TCE,1150.1,0.0,??,3.4,30.5,7.100,4.9,1904.2,1.5,505.4,3.5,??,3.2,137.4,1.1,1.786,41.2,34.8,1878.5,0.4,2702.0,??,??,1.3,3.7,1.4
NZW/LacJ,m,062609_42,TCE,949.1,0.1,??,1.5,33.7,7.900,2.1,1469.1,1.3,362.3,4.8,??,3.6,161.2,1.5,1.667,64.3,52.1,514.4,0.5,3461.3,0.5,11.1,1.3,2.9,1.4
NZW/LacJ,m,062609_43,TCE,1294.7,??,??,1.3,35.8,6.400,8.1,1988.1,1.6,522.5,3.3,??,3.7,123.4,1.5,1.786,47.4,10.5,1547.4,0.7,3105.5,1.3,??,1.0,1.7,1.6
NZW/LacJ,m,062609_44,TCE,974.9,0.1,??,??,27.9,7.600,1.9,1721.8,1.2,372.0,4.8,??,,,,2.000,47.4,1.0,1013.8,0.4,2191.5,1.3,??,,,
